PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Shah, PM; Day, AN; Davies, TE; Morgan, DJ; Taylor, SH				Shah, Parag M.; Day, Andrew N.; Davies, Thomas E.; Morgan, David J.; Taylor, Stuart H.			Mechanochemical preparation of ceria-zirconia catalysts for the total oxidation of propane and naphthalene Volatile Organic Compounds	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						331	340		10.1016/j.apcatb.2019.04.061								WOS:000469904500038						
J	Abeledo-Lameiro, MJ; Polo-Lopez, MI; Ares-Mazas, E; Gomez-Couso, H				Jesus Abeledo-Lameiro, Maria; Inmaculada Polo-Lopez, Maria; Ares-Mazas, Elvira; Gomez-Couso, Hipolito			Inactivation of the waterborne pathogen Cryptosporidium parvum by photo-Fenton process under natural solar conditions	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						341	347		10.1016/j.apcatb.2019.04.049								WOS:000469904500039						
J	Han, Q; Rehman, MU; Wang, JH; Rykov, A; Gutierrez, OY; Zhao, YJ; Wang, SP; Ma, XB; Lercher, JA				Han, Qiao; Rehman, Mooeez Ur; Wang, Junhu; Rykov, Alexandre; Gutierrez, Oliver Y.; Zhao, Yujun; Wang, Shengping; Ma, Xinbin; Lercher, Johannes A.			The synergistic effect between Ni sites and Ni-Fe alloy sites on hydrodeoxygenation of lignin-derived phenols	APPLIED CATALYSIS B-ENVIRONMENTAL																; Zhao, Yujun/K-9036-2018; Ma, Xinbin/B-3164-2008	Gutierrez Tinoco, Oliver/0000-0001-9163-4786; Zhao, Yujun/0000-0002-3135-9281; Ma, Xinbin/0000-0002-2210-0518												0926-3373	1873-3883				SEP 15	2019	253						348	358		10.1016/j.apcatb.2019.04.065								WOS:000469904500040						
J	Ba, GM; Liang, ZW; Li, HP; Du, N; Liu, JQ; Hou, WG				Ba, Guiming; Liang, Zhiwei; Li, Haiping; Du, Na; Liu, Jianqiang; Hou, Wanguo			Simultaneous formation of mesopores and homojunctions in graphite carbon nitride with enhanced optical absorption, charge separation and photocatalytic hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																	liu, jianqiang/0000-0002-7301-4388												0926-3373	1873-3883				SEP 15	2019	253						359	368		10.1016/j.apcatb.2019.04.084								WOS:000469904500041						
J	Tabaja, N; Brouri, D; Casale, S; Zein, S; Jaafar, M; Selmane, M; Toufaily, J; Davidson, A; Hamieh, T				Tabaja, Nabil; Brouri, Dalil; Casale, Sandra; Zein, Sahar; Jaafar, Mira; Selmane, Mohamed; Toufaily, Joumana; Davidson, Anne; Hamieh, Tayssir			Use of SBA-15 silica grains for engineering mixtures of oxides CoFe and NiFe for Advanced Oxidation Reactions under visible and NIR	APPLIED CATALYSIS B-ENVIRONMENTAL																	Hamieh, Tayssir/0000-0003-2153-7408												0926-3373	1873-3883				SEP 15	2019	253						369	378		10.1016/j.apcatb.2019.04.073								WOS:000469904500042						
J	Madhusudan, P; Wang, Y; Chandrashekar, BN; Wang, WJ; Wang, JW; Miao, J; Shi, R; Liang, YX; Mi, GJ; Cheng, C				Madhusudan, Puttaswamy; Wang, Yu; Chandrashekar, Bananakere Nanjegowda; Wang, Weijun; Wang, Jingwei; Miao, Jun; Shi, Run; Liang, Yuxing; Mi, Guojun; Cheng, Chun			Nature inspired ZnO/ZnS nanobranch-like composites, decorated with Cu(OH)(2) clusters for enhanced visible-light photocatalytic hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						379	390		10.1016/j.apcatb.2019.04.008								WOS:000469904500043						
J	Granger, P; Troncea, S; Dacquin, JP; Trentesaux, M; Gardoll, O; Nuns, N; Parvulescu, VI				Granger, P.; Troncea, S.; Dacquin, J. P.; Trentesaux, M.; Gardoll, O.; Nuns, N.; Parvulescu, V. I.			Peculiar kinetic properties of Cu-doped Pd/CexZr1-xO2 in water denitrification: Impact of Pd-Cu interaction vs structural properties of CexZr1-xO2	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						391	400		10.1016/j.apcatb.2019.04.010								WOS:000469904500044						
J	Ganguly, P; Mathew, S; Clarizia, L; Kumar, RS; Akande, A; Hinder, S; Breen, A; Pillai, SC				Ganguly, Priyanka; Mathew, Snehamol; Clarizia, Laura; Kumar, Syam R.; Akande, A.; Hinder, Steven; Breen, Ailish; Pillai, Suresh C.			Theoretical and experimental investigation of visible light responsive AgBiS2-TiO2 heterojunctions for enhanced photocatalytic applications	APPLIED CATALYSIS B-ENVIRONMENTAL																Pillai, Suresh C./K-4724-2015	Pillai, Suresh C./0000-0002-8901-9116												0926-3373	1873-3883				SEP 15	2019	253						401	418		10.1016/j.apcatb.2019.04.033								WOS:000469904500045						
J	Chen, X; Duan, XG; Oh, WD; Zhang, PH; Guan, CT; Zhu, YA; Lim, TT				Chen, Xiao; Duan, Xiaoguang; Oh, Wen-Da; Zhang, Peng-Hui; Guan, Chao-Ting; Zhu, Yi-An; Lim, Teik-Thye			Insights into nitrogen and boron-co-doped graphene toward high-performance peroxymonosulfate activation: Maneuverable N-B bonding configurations and oxidation pathways	APPLIED CATALYSIS B-ENVIRONMENTAL																Lim, Teik-Thye/A-3790-2011	Lim, Teik-Thye/0000-0002-0386-0394												0926-3373	1873-3883				SEP 15	2019	253						419	432		10.1016/j.apcatb.2019.04.018								WOS:000469904500046						
J	Casado, C; Garcia-Gil, A; van Grieken, R; Marugan, J				Casado, Cintia; Garcia-Gil, Angela; van Grieken, Rafael; Marugan, Javier			Critical role of the light spectrum on the simulation of solar photocatalytic reactors	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 5	2019	252						1	9		10.1016/j.apcatb.2019.04.004								WOS:000469906200001						
